order,family,genus,species
Lepidoptera,Noctuidae,Argyrogramma,NA
Lepidoptera,Noctuidae,Callopistria,Callopistria floridensis
Lepidoptera,Noctuidae,Chrysodeixis,Chrysodeixis includens
Lepidoptera,Noctuidae,NA,NA
Lepidoptera,NA,NA,NA
Lepidoptera,Noctuidae,Helicoverpa,NA
Lepidoptera,Noctuidae,Heliothis,Heliothis virescens
Lepidoptera,Noctuidae,Leucania,NA
Lepidoptera,Noctuidae,Rachiplusia,NA
Lepidoptera,Noctuidae,Rachiplusia,Rachiplusia nu
Lepidoptera,Noctuidae,Rachiplusia,Rachiplusia nu
Lepidoptera,NA,NA,NA
Lepidoptera,NA,NA,NA
Lepidoptera,NA,NA,NA
Lepidoptera,Noctuidae,Spodoptera,Spodoptera eridania
Lepidoptera,Noctuidae,Spodoptera,NA
Lepidoptera,Pyralidae,Elasmopalpus,Elasmopalpus lignosellus
Lepidoptera,NA,NA,NA
Lepidoptera,Sphingidae,Manduca,Manduca sextapaphus
Neuroptera,Ascalaphidae,Ululodes,Ululodes quadripunctatus
Odonata,Coenagrionidae,NA,NA
Odonata,Coenagrionidae,Ischnura,Ischnura fluviatilis
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax connata
Orthoptera,Gryllidae,Anurogryllus,Anurogryllus muticus
Orthoptera,Gryllidae,Anurogryllus,Anurogryllus muticus
Orthoptera,Gryllidae,Anurogryllus,Anurogryllus muticus
Orthoptera,Gryllidae,Anurogryllus,NA
Orthoptera,Gryllidae,Anurogryllus,NA
Orthoptera,NA,NA,NA
Orthoptera,Gryllidae,Gryllidae,NA
Orthoptera,NA,NA,NA
Orthoptera,NA,NA,NA
Orthoptera,NA,NA,NA
Trichoptera,Hydroptilidae,Hydroptilidae,NA
Trichoptera,Polycentropodidae,Cyrnellus,NA
Trichoptera,Polycentropodidae,NA,NA
Trichoptera,Polycentropodidae,NA,NA
Trichoptera,Polycentropodidae,NA,NA
Cyrnellus,bold,NA,NA
Polycentropodidae,bold,NA,NA
Polycentropodidae,bold,NA,60
Polycentropodidae,bold,NA,NA
Trombidiformes,bold,NA,NA
Trombidiformes,bold,NA,NA
Trombidiformes,ncbi,NA,NA
Tydeidae,bold,NA,NA
